genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
astragalus,0.6338595238095238,35.31150181655,0.3441549454,22.836252402222225,,20.85,5.083333333333333,,32.078953683083334,0.0,0.0,100.0,63,112.0,6,0
astrantia,0.647,10.57,,8.22,,,,,,,,,3,8.0,0,0
astrodaucus,,,,,,,,,,,,,1,1.0,0,0
asyneuma,,,,,,,,,,,,,2,2.0,0,0
atalaya,,,,,,,,,,,,,1,1.0,0,0
athamanta,,,,,,,,,,,,,1,2.0,0,0
athyrium,0.4164567500277778,61.799283731770835,0.2339204786111111,9.960324770083334,1.289535543,,,,,,,,5,24.0,0,0
atractylis,0.392875,5.510878614,0.521388939,,,,,,,,,,3,3.0,0,0
atraphaxis,,,,,,,,,,,,,2,6.0,0,0
atriplex,,,,5.599999999999999,0.67,,3.0,,0.0,0.0,0.0,100.0,15,53.0,1,0
attalea,,,,,,,,,,,,,1,2.0,0,0
austroblechnum,0.41,32.4,0.21,13.99,0.81,,,,,,,,1,1.0,0,0
austrostipa,,,,,,,,,,,,,1,1.0,0,0
avena,,,,,,,,,,,,,5,12.0,0,0
avenella,0.2124,178.048342475,,10.756063537142856,1.2829818814285716,,,261.0,,,,,1,24.0,0,1
avicennia,,,,6.15,0.35075,,,,,,,,1,64.0,0,0
axonopus,,,,,,,,,,,,,2,2.0,0,0
azadirachta,,,,17.5,1.1,,,,,,,,1,17.0,0,0
azorella,,,,,,,34.125,13.142857142857142,32.66585561375,1.1691584115000002,0.34587032475,97.59666758375,4,8.0,1,1
baccaurea,0.85749833335,8.097245679928571,0.29960027899999997,10.542142857142858,0.7230769230769231,,,,,,,,1,21.0,0,0
baccharis,,,,,,,25.25,,16.063878590175,0.5379729339375,0.42174139546249995,85.662817863125,6,6.0,2,0
